neuron,label,output_spikes
0,float16,19
1,float16,19
2,float16,27
3,float16,35
4,float16,11
5,float16,27
6,float16,39
7,float16,27
8,float16,23
9,float16,15
10,float16,23
11,float16,23
12,float16,11
13,float16,24
14,float16,0
15,float16,27
16,float16,11
17,float16,27
18,float16,39
19,float16,15
20,float16,35
21,float16,39
22,float16,35
23,float16,31
24,float16,46
25,float16,35
26,float16,27
27,float16,35
28,float16,31
29,float16,5
30,float16,27
31,float16,23
32,float16,30
33,float16,39
34,float16,15
35,float16,35
36,float16,39
37,float16,5
38,float16,31
39,float16,35
40,float16,11
41,float16,39
42,float16,49
43,float16,11
44,float16,15
45,float16,49
46,float16,23
47,float16,35
48,float16,23
49,float16,31
0,posit16,24
1,posit16,5
2,posit16,15
3,posit16,27
4,posit16,31
5,posit16,15
6,posit16,20
7,posit16,39
8,posit16,20
9,posit16,4
10,posit16,35
11,posit16,24
12,posit16,11
13,posit16,43
14,posit16,31
15,posit16,43
16,posit16,20
17,posit16,42
18,posit16,35
19,posit16,23
20,posit16,31
21,posit16,38
22,posit16,28
23,posit16,35
24,posit16,20
25,posit16,11
26,posit16,39
27,posit16,23
28,posit16,50
29,posit16,15
30,posit16,24
31,posit16,31
32,posit16,39
33,posit16,0
34,posit16,19
35,posit16,23
36,posit16,19
37,posit16,0
38,posit16,19
39,posit16,31
40,posit16,24
41,posit16,39
42,posit16,35
43,posit16,43
44,posit16,23
45,posit16,11
46,posit16,27
47,posit16,15
48,posit16,27
49,posit16,23
