I_ext,noise_std,precision,n_spikes_ref,n_spikes_test,jitter_mean,jitter_std,latency_diff,vp_distance,isi_distance,spectral_entropy_diff,firing_rate_diff,rmse_voltage
10.0,0.0,float32,62,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6162274058560896e-05
10.0,0.0,float16,62,62,-0.18974358974357308,0.4996382649400008,-0.09999999999999964,53.7999999999999,1.0278237377109307,2.0311110723641823,0.0,4.5040198980680435
10.0,0.0,posit16,62,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01160503329531627
15.0,0.0,float32,74,74,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,4.2660911461674605e-06
15.0,0.0,float16,74,74,-0.6159999999999998,0.2838027484010717,-0.09999999999999964,97.40000000000005,1.1830822333474702,1.579010606491834,0.0,6.108034253634204
15.0,0.0,posit16,74,74,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.010286286346703248
20.0,0.0,float32,84,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3759780209562636e-05
20.0,0.0,float16,84,82,0.2214285714285658,0.5621115438728406,0.09999999999999964,139.59999999999982,0.9787190455987723,1.8797749157269497,-2.0,8.874634415136565
20.0,0.0,posit16,84,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011030105828626059
25.0,0.0,float32,92,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4702857757956877e-06
25.0,0.0,float16,92,92,0.5560000000000049,0.29131426329652854,0.0,132.00000000000026,1.2078739061442798,1.0869511004142813,0.0,7.421538002382133
25.0,0.0,posit16,92,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008536411147596533
30.0,0.0,float32,99,99,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,2.0613531361608525e-06
30.0,0.0,float16,99,98,0.39473684210526727,0.5586390268562239,0.0,148.40000000000012,0.9686293785468338,2.0596317008357623,-1.0,8.160220408110616
30.0,0.0,posit16,99,99,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.01006690968902613
